100
Episode: 0 | Return: 5.9422756881989915
Episode: 1 | Return: 5.973144713762245
Episode: 2 | Return: 5.98108233519086
Episode: 3 | Return: 6.003839941475371
Episode: 4 | Return: 6.001792458564357
Episode: 5 | Return: 5.975367375176116
Episode: 6 | Return: 5.917493706828459
Episode: 7 | Return: 5.965973200247185
Episode: 8 | Return: 5.946043159409287
Episode: 9 | Return: 5.916769548157539
100
Episode: 0 | Return: -2.618490279831634
Episode: 1 | Return: -3.3761455771046345
Episode: 2 | Return: -3.6280322319892435
Episode: 3 | Return: -2.7096447736158877
Episode: 4 | Return: -2.2105998573885652
Episode: 5 | Return: -3.4475168905588403
