400
Episode: 0 | Return: 22.567772342800318
Episode: 1 | Return: 22.813562367651645
Episode: 2 | Return: 22.704661432169132
Episode: 3 | Return: 22.56783786051999
Episode: 4 | Return: 22.62412033823949
Episode: 5 | Return: 22.675429379538137
Episode: 6 | Return: 22.458148650845764
Episode: 7 | Return: 22.658595373440818
Episode: 8 | Return: 22.57911605226809
Episode: 9 | Return: 22.889593009040137
500
Episode: 0 | Return: 4.859977103510069
Episode: 1 | Return: 4.725721257977579
Episode: 2 | Return: 4.8518196500034705
Episode: 3 | Return: 4.745727144304832
Episode: 4 | Return: 4.804714663565398
Episode: 5 | Return: 4.7624291568456245
Episode: 6 | Return: 4.832618385134009
Episode: 7 | Return: 4.7804852835417835
Episode: 8 | Return: 4.756613861109976
Episode: 9 | Return: 4.801193192187673
600
Episode: 0 | Return: 4.174867304605863
Episode: 1 | Return: 4.092361953370205
Episode: 2 | Return: 4.14872971536559
Episode: 3 | Return: 4.1118985161587185
Episode: 4 | Return: 4.11395049783006
Episode: 5 | Return: 4.0814246185615275
Episode: 6 | Return: 4.208803213814707
Episode: 7 | Return: 4.160941146172502
Episode: 8 | Return: 4.077380139190264
Episode: 9 | Return: 4.206819368775043
700
Episode: 0 | Return: 2.7695815809433943
Episode: 1 | Return: 2.701803519459755
Episode: 2 | Return: 2.6297526986904725
Episode: 3 | Return: 2.5941253053891686
Episode: 4 | Return: 2.660623986667031
Episode: 5 | Return: 2.688918093806907
Episode: 6 | Return: 2.684167273836048
Episode: 7 | Return: 2.6454592452676473
Episode: 8 | Return: 2.6978743015506588
Episode: 9 | Return: 2.761818636455354
800
Episode: 0 | Return: -3.086084489956036
Episode: 1 | Return: -2.5509091377976083
Episode: 2 | Return: -2.6011376175061756
Episode: 3 | Return: -3.0494946212633485
Episode: 4 | Return: -2.316234261254626
Episode: 5 | Return: -2.6540072874019383
Episode: 6 | Return: -2.5722657089979277
Episode: 7 | Return: -2.6470984199397476
Episode: 8 | Return: -2.6404490515054744
Episode: 9 | Return: -2.5104316152485953
900
Episode: 0 | Return: 1.0210176503403683
Episode: 1 | Return: 1.0294222245250002
Episode: 2 | Return: 1.043655602908434
Episode: 3 | Return: 0.9921757390386489
Episode: 4 | Return: 1.0631042832560873
Episode: 5 | Return: 1.0012098817172461
Episode: 6 | Return: 1.0177436956392711
Episode: 7 | Return: 0.9860919386449414
Episode: 8 | Return: 1.0319507256223088
Episode: 9 | Return: 1.080045785200006
1000
Episode: 0 | Return: 3.7822395986158504
Episode: 1 | Return: 3.8354471843928337
Episode: 2 | Return: 3.7950691811449615
Episode: 3 | Return: 3.7623806904566672
Episode: 4 | Return: 3.755829287195204
Episode: 5 | Return: 3.8105591852407095
Episode: 6 | Return: 3.774819188786192
Episode: 7 | Return: 3.7672045175721762
Episode: 8 | Return: 3.843061816177637
Episode: 9 | Return: 3.7715533429923136
1100
Episode: 0 | Return: 4.343192194157146
Episode: 1 | Return: 4.398192545182367
Episode: 2 | Return: 4.324604839417479
Episode: 3 | Return: 4.298080134082815
Episode: 4 | Return: 4.398704412907731
Episode: 5 | Return: 4.393695339732576
Episode: 6 | Return: 4.3809600185252
Episode: 7 | Return: 4.335877732455325
Episode: 8 | Return: 4.331134476181231
Episode: 9 | Return: 4.3122652493790845
1200
Episode: 0 | Return: 10.362555884652053
Episode: 1 | Return: 10.362386119341028
Episode: 2 | Return: 10.376785758131922
Episode: 3 | Return: 10.340121462319699
Episode: 4 | Return: 10.390905927198556
Episode: 5 | Return: 10.417533094005071
Episode: 6 | Return: 10.383584639245493
Episode: 7 | Return: 10.42910464286212
Episode: 8 | Return: 10.345229568607213
Episode: 9 | Return: 10.267166019510162
1300
Episode: 0 | Return: 7.5285953545249615
Episode: 1 | Return: 7.802739988258812
Episode: 2 | Return: 8.020898026705106
Episode: 3 | Return: 7.8407131078969705
Episode: 4 | Return: 7.99636686053184
Episode: 5 | Return: 7.944861726032934
Episode: 6 | Return: 8.151764686987372
Episode: 7 | Return: 7.43661633831895
Episode: 8 | Return: 8.242391999298349
Episode: 9 | Return: 8.11049905047426
1400
Episode: 0 | Return: 3.3793327345574102
Episode: 1 | Return: 3.481461481031668
Episode: 2 | Return: 3.822515674914337
Episode: 3 | Return: 3.1926425906693883
Episode: 4 | Return: 3.1059780544938427
Episode: 5 | Return: 3.4665768737310065
Episode: 6 | Return: 3.7901518747370013
Episode: 7 | Return: 3.7494712598015725
Episode: 8 | Return: 3.7992582311635883
Episode: 9 | Return: 2.9706391845338014
1500
Episode: 0 | Return: 2.9222953895076205
Episode: 1 | Return: 2.7773321033694662
Episode: 2 | Return: 2.8695121235612584
Episode: 3 | Return: 2.640330184487075
Episode: 4 | Return: 3.0368798238932335
Episode: 5 | Return: 2.960823054778984
Episode: 6 | Return: 2.879249651713014
Episode: 7 | Return: 3.0008091628150653
Episode: 8 | Return: 2.6805235941240566
Episode: 9 | Return: 2.7236779581532042
1600
Episode: 0 | Return: 2.570178669253755
Episode: 1 | Return: 2.739491932765185
Episode: 2 | Return: 2.3800311903562203
Episode: 3 | Return: 2.479094331025829
Episode: 4 | Return: 2.7988803696663784
Episode: 5 | Return: 2.581995842079201
Episode: 6 | Return: 2.5573234512801815
Episode: 7 | Return: 2.5231404944608613
Episode: 8 | Return: 2.8736666641658157
Episode: 9 | Return: 2.6654888869937263
1700
Episode: 0 | Return: 1.705908980740993
Episode: 1 | Return: 1.9752366610955305
Episode: 2 | Return: 1.6832608765730366
Episode: 3 | Return: 1.5353136109461984
Episode: 4 | Return: 1.8440497400910045
Episode: 5 | Return: 1.7737511214028996
Episode: 6 | Return: 1.901367774529621
Episode: 7 | Return: 1.6616320409804572
Episode: 8 | Return: 1.6502519201867476
Episode: 9 | Return: 1.6802278261609487
1800
Episode: 0 | Return: -1.6444509432907206
Episode: 1 | Return: -1.2564974562231113
Episode: 2 | Return: -1.5860532912672585
Episode: 3 | Return: -1.8319163134083367
Episode: 4 | Return: -1.5355528206909739
Episode: 5 | Return: -2.116117496991017
Episode: 6 | Return: -1.3074757382344797
Episode: 7 | Return: -1.4604662725617992
Episode: 8 | Return: -1.8908990827743841
Episode: 9 | Return: -1.6784097001469258
1900
Episode: 0 | Return: -9.514846081786565
Episode: 1 | Return: -9.751948145603503
Episode: 2 | Return: -8.950585621533154
Episode: 3 | Return: -9.809331533860561
Episode: 4 | Return: -9.125856319254314
Episode: 5 | Return: -9.940549993240058
Episode: 6 | Return: -9.53569325763861
Episode: 7 | Return: -9.459221231812176
Episode: 8 | Return: -8.540746625446467
Episode: 9 | Return: -9.420439325206296
100
Episode: 0 | Return: 4.476645677463069
Episode: 1 | Return: 3.8026666692806503
Episode: 2 | Return: 4.470631243414903
Episode: 3 | Return: 4.444216651925073
Episode: 4 | Return: 3.924210524932549
Episode: 5 | Return: 4.347793099299312
Episode: 6 | Return: 3.7391733794865583
Episode: 7 | Return: 3.5406108491385497
Episode: 8 | Return: 3.6314120195979807
Episode: 9 | Return: 4.130072015803476
200
Episode: 0 | Return: 1.7902509105311757
Episode: 1 | Return: 2.1091873636640517
Episode: 2 | Return: 1.6511024343765432
Episode: 3 | Return: 1.9025551700078522
Episode: 4 | Return: 1.6761571807964923
Episode: 5 | Return: 2.1754432416056395
Episode: 6 | Return: 1.797225214407452
Episode: 7 | Return: 1.8291257979960263
Episode: 8 | Return: 1.721775355241924
Episode: 9 | Return: 1.9658805227284313
300
Episode: 0 | Return: 1.0116818482280365
Episode: 1 | Return: 1.1514720347004284
Episode: 2 | Return: 1.125595472975504
Episode: 3 | Return: 1.4508512308695463
Episode: 4 | Return: 1.171767027570664
Episode: 5 | Return: 1.2129651799302543
Episode: 6 | Return: 1.3455104902865722
Episode: 7 | Return: 1.299952331832754
Episode: 8 | Return: 0.9879771536430264
Episode: 9 | Return: 1.0878941370387265
400
Episode: 0 | Return: 1.2513846321197069
Episode: 1 | Return: 1.2191878038406672
Episode: 2 | Return: 1.3225854068842509
Episode: 3 | Return: 1.132161642154717
Episode: 4 | Return: 1.151169630687271
Episode: 5 | Return: 1.4867107805982454
Episode: 6 | Return: 1.41631450328334
Episode: 7 | Return: 1.5025735995921503
Episode: 8 | Return: 1.2874388920766993
Episode: 9 | Return: 1.4085266482908698
500
Episode: 0 | Return: 1.9100707591308472
Episode: 1 | Return: 1.8927218729297697
Episode: 2 | Return: 1.8638040542124485
Episode: 3 | Return: 1.89968117585029
Episode: 4 | Return: 1.8827702122241465
Episode: 5 | Return: 1.8981622692493645
Episode: 6 | Return: 1.876933755566513
Episode: 7 | Return: 1.9170639231379591
Episode: 8 | Return: 1.892295277953956
Episode: 9 | Return: 1.8723520817858004
600
Episode: 0 | Return: 3.3997490956225183
Episode: 1 | Return: 3.407820174743968
Episode: 2 | Return: 3.400434891363405
Episode: 3 | Return: 3.3539539843591224
Episode: 4 | Return: 3.3344360794117147
Episode: 5 | Return: 3.293803545857959
Episode: 6 | Return: 3.3362787366871247
Episode: 7 | Return: 3.3916985721276944
Episode: 8 | Return: 3.3234431099930433
Episode: 9 | Return: 3.4233060553219086
700
Episode: 0 | Return: 5.214158255790724
Episode: 1 | Return: 5.19893228462381
Episode: 2 | Return: 5.2371126596875515
Episode: 3 | Return: 5.328405888988379
Episode: 4 | Return: 5.283218094548911
Episode: 5 | Return: 5.313257974304589
Episode: 6 | Return: 5.352198428914006
Episode: 7 | Return: 5.240516388322227
Episode: 8 | Return: 5.20317711712148
Episode: 9 | Return: 5.191794004710638
800
Episode: 0 | Return: 10.723761328320514
Episode: 1 | Return: 10.732789273014141
Episode: 2 | Return: 10.48761877853994
Episode: 3 | Return: 10.572644657079266
Episode: 4 | Return: 10.552094027953391
Episode: 5 | Return: 10.697449710264614
Episode: 6 | Return: 10.721074538394731
Episode: 7 | Return: 10.651305980736707
Episode: 8 | Return: 10.5879816193684
Episode: 9 | Return: 10.380947230972886
900
Episode: 0 | Return: 38.28869616419144
Episode: 1 | Return: 36.6794887656719
Episode: 2 | Return: 38.944664554072126
Episode: 3 | Return: 38.56137444405268
Episode: 4 | Return: 38.61904028212226
Episode: 5 | Return: 36.541197931133496
Episode: 6 | Return: 36.775617955816685
Episode: 7 | Return: 38.46644892505764
Episode: 8 | Return: 36.547306768159935
Episode: 9 | Return: 38.558818780245595
1000
Episode: 0 | Return: 1.0753557508651235
Episode: 1 | Return: 0.6694347325944741
Episode: 2 | Return: 0.4073125259751196
Episode: 3 | Return: 0.23070904212933452
Episode: 4 | Return: 0.641169354413428
Episode: 5 | Return: 0.49687057008111934
Episode: 6 | Return: 0.5639282963017462
Episode: 7 | Return: 1.215144494652065
Episode: 8 | Return: 0.0980160382826385
Episode: 9 | Return: 1.1657711228692298
100
Episode: 0 | Return: 37.02101118931816
Episode: 1 | Return: 37.1126194039725
Episode: 2 | Return: 36.816964654129265
Episode: 3 | Return: 37.03528666658398
Episode: 4 | Return: 37.073353238840504
Episode: 5 | Return: 39.01384341712238
Episode: 6 | Return: 36.80360824677882
Episode: 7 | Return: 37.44163025308241
Episode: 8 | Return: 39.23684460920441
Episode: 9 | Return: 38.84996473126108
200
Episode: 0 | Return: 21.040757637765463
Episode: 1 | Return: 20.774191416609508
Episode: 2 | Return: 20.821387041439134
Episode: 3 | Return: 20.947485183481284
Episode: 4 | Return: 22.26671594702299
Episode: 5 | Return: 20.86844875198278
Episode: 6 | Return: 21.857695563323187
Episode: 7 | Return: 22.24028884422782
Episode: 8 | Return: 20.85061929541398
Episode: 9 | Return: 21.876429787593093
300
Episode: 0 | Return: 28.69960281063745
Episode: 1 | Return: 30.05097339417413
Episode: 2 | Return: 29.974153962815404
Episode: 3 | Return: 28.680082155634263
Episode: 4 | Return: 30.049190760876883
Episode: 5 | Return: 28.362661431830567
Episode: 6 | Return: 28.397355250666145
Episode: 7 | Return: 28.538132447802607
Episode: 8 | Return: 28.625635521935095
