1000
Episode: 0 | Return: 36.46888564143301
Episode: 1 | Return: 36.57265074493915
Episode: 2 | Return: 36.40775264597512
Episode: 3 | Return: 36.441207558780185
Episode: 4 | Return: 36.37486580395044
Episode: 5 | Return: 36.733106121524976
Episode: 6 | Return: 38.508355269511874
Episode: 7 | Return: 36.2908979300988
Episode: 8 | Return: 36.60335264622552
Episode: 9 | Return: 36.55520343503093
[    10 episode,     8684 total steps] average reward for past 500 iterations: 12.371
Last best model saved with reward: 56.67, at episode 874.
Episode: 0 | Return: -18.574856040588745
Episode: 1 | Return: -20.000524912421163
Episode: 2 | Return: -19.9679598704864
Episode: 3 | Return: -18.595999950576523
Episode: 4 | Return: -19.776864239707184
Episode: 5 | Return: -19.63428778418771
Episode: 6 | Return: -19.62372653077232
Episode: 7 | Return: -18.29383541079558
Episode: 8 | Return: -19.04936219465095
Episode: 9 | Return: -20.201887693386517
1100
Episode: 0 | Return: -73.47902341451223
Episode: 1 | Return: -75.9572244194038
Episode: 2 | Return: -75.82923572860392
Episode: 3 | Return: -69.772471715095
Episode: 4 | Return: -72.85195155603874
Episode: 5 | Return: -75.55832538477502
Episode: 6 | Return: -77.65989797516497
Episode: 7 | Return: -70.42719334026411
Episode: 8 | Return: -72.83155750839528
Episode: 9 | Return: -72.47601470870762
Episode: 0 | Return: -120.81986389846749
Episode: 1 | Return: -119.77977480341315
Episode: 2 | Return: -124.98769528633159
Episode: 3 | Return: -126.78320494141374
Episode: 4 | Return: -116.86177832463888
Episode: 5 | Return: -128.42294144658712
Episode: 6 | Return: -125.78070499614765
Episode: 7 | Return: -121.10631819547066
Episode: 8 | Return: -124.8943430968412
Episode: 9 | Return: -126.65829178353965
1200
Episode: 0 | Return: -45.53803421511396
Episode: 1 | Return: -44.83902997416237
Episode: 2 | Return: -47.066628432760794
Episode: 3 | Return: -44.41820577792515
Episode: 4 | Return: -46.824391439724664
Episode: 5 | Return: -42.32905244730455
Episode: 6 | Return: -45.816651891405925
Episode: 7 | Return: -42.75460242309083
Episode: 8 | Return: -44.87546078821812
Episode: 9 | Return: -42.004157641883616
Episode: 0 | Return: -8.707600138350102
Episode: 1 | Return: -8.929965707191666
Episode: 2 | Return: -9.434828202045543
Episode: 3 | Return: -9.616246921648901
Episode: 4 | Return: -9.179507932691635
Episode: 5 | Return: -9.241345810872494
Episode: 6 | Return: -9.457815192631173
Episode: 7 | Return: -8.711433399943251
Episode: 8 | Return: -8.379499458045188
Episode: 9 | Return: -8.18692773498688
1300
Episode: 0 | Return: 36.07758758477234
Episode: 1 | Return: 36.31096574388014
Episode: 2 | Return: 36.30346641478647
Episode: 3 | Return: 35.7876078871634
Episode: 4 | Return: 36.039523176839516
Episode: 5 | Return: 35.74294551533567
Episode: 6 | Return: 35.868620702133256
Episode: 7 | Return: 37.76204006139993
Episode: 8 | Return: 36.240735841746734
Episode: 9 | Return: 36.198989592646015
Episode: 0 | Return: 37.0604217506081
Episode: 1 | Return: 37.070458014303405
Episode: 2 | Return: 37.34280900707546
Episode: 3 | Return: 39.00078356933774
Episode: 4 | Return: 37.21127401206988
Episode: 5 | Return: 36.85256850480693
Episode: 6 | Return: 38.995364755559095
Episode: 7 | Return: 38.905398497581984
Episode: 8 | Return: 37.00700693513061
Episode: 9 | Return: 38.81481716381422
1400
Episode: 0 | Return: 37.59355311187865
Episode: 1 | Return: 38.864883739087944
Episode: 2 | Return: 37.17362689699944
Episode: 3 | Return: 37.58329019475814
Episode: 4 | Return: 37.34025109206671
Episode: 5 | Return: 39.34631985198852
Episode: 6 | Return: 38.738129262175214
Episode: 7 | Return: 36.98802683301581
Episode: 8 | Return: 39.108767580070754
Episode: 9 | Return: 36.7681305754026
Episode: 0 | Return: 38.777642005081226
Episode: 1 | Return: 39.44243899300532
Episode: 2 | Return: 37.4329655609772
Episode: 3 | Return: 37.576809870692124
Episode: 4 | Return: 37.41041263600376
Episode: 5 | Return: 39.016959175389026
Episode: 6 | Return: 38.85941652058159
Episode: 7 | Return: 39.140487702636364
Episode: 8 | Return: 38.97705326743427
Episode: 9 | Return: 37.78432707397567
1500
Episode: 0 | Return: 15.13483551439897
Episode: 1 | Return: 13.172426201375227
Episode: 2 | Return: 12.895774261053075
Episode: 3 | Return: 12.844075852991033
Episode: 4 | Return: 15.073658291589032
Episode: 5 | Return: 11.030435007177264
Episode: 6 | Return: 13.207611509763534
Episode: 7 | Return: 12.843455295207024
Episode: 8 | Return: 15.462971765720273
Episode: 9 | Return: 13.489177303888866
[    10 episode,    18414 total steps] average reward for past 500 iterations: -7.477
Last best model saved with reward: 97.00, at episode 1480.
Episode: 0 | Return: 3.297088443845536
Episode: 1 | Return: 3.258303478267656
Episode: 2 | Return: 3.2575907562646864
Episode: 3 | Return: 3.2987805444504774
Episode: 4 | Return: 3.335662023996304
Episode: 5 | Return: 3.2766395171189124
Episode: 6 | Return: 3.3221363685309733
Episode: 7 | Return: 3.2855283191760707
Episode: 8 | Return: 3.2648798108634107
Episode: 9 | Return: 3.28380059562964
1600
Episode: 0 | Return: 2.385494291789537
Episode: 1 | Return: 2.3403563308331212
Episode: 2 | Return: 2.3456745744476764
Episode: 3 | Return: 2.356288380437011
Episode: 4 | Return: 2.321422658017439
Episode: 5 | Return: 2.3389028886654324
Episode: 6 | Return: 2.380478918106216
Episode: 7 | Return: 2.37829587276714
Episode: 8 | Return: 2.3907496686399465
Episode: 9 | Return: 2.356634693336902
Episode: 0 | Return: 2.2596382305607463
Episode: 1 | Return: 2.2590200994388727
Episode: 2 | Return: 2.328790525832162
Episode: 3 | Return: 2.3255772330765914
Episode: 4 | Return: 2.291365192438598
Episode: 5 | Return: 2.2713585526426288
Episode: 6 | Return: 2.342320455865025
Episode: 7 | Return: 2.305099208724165
Episode: 8 | Return: 2.3277929977232454
Episode: 9 | Return: 2.312860841249911
1700
Episode: 0 | Return: 2.2487053512474633
Episode: 1 | Return: 2.157995534364745
Episode: 2 | Return: 2.203436568194572
Episode: 3 | Return: 2.1770468185674368
Episode: 4 | Return: 2.242266433947361
Episode: 5 | Return: 2.166363379644721
Episode: 6 | Return: 2.151477757837051
Episode: 7 | Return: 2.1772200583778316
Episode: 8 | Return: 2.240859962263189
Episode: 9 | Return: 2.1977082088772546
Episode: 0 | Return: 1.8265061809773533
Episode: 1 | Return: 1.8752841657458184
Episode: 2 | Return: 1.8896159266660995
Episode: 3 | Return: 1.8904012098947374
Episode: 4 | Return: 1.9648637135819946
Episode: 5 | Return: 1.8506004296227436
Episode: 6 | Return: 1.9135005241172285
Episode: 7 | Return: 1.9171131802637855
Episode: 8 | Return: 1.923111399008766
Episode: 9 | Return: 1.9810782716659383
1800
Episode: 0 | Return: 1.7007832089136719
Episode: 1 | Return: 1.6797731022992366
Episode: 2 | Return: 1.6789773756913429
Episode: 3 | Return: 1.6016246603434532
Episode: 4 | Return: 1.5666569240427375
Episode: 5 | Return: 1.725414802052377
Episode: 6 | Return: 1.7247460438403202
Episode: 7 | Return: 1.649235541934103
Episode: 8 | Return: 1.724368506142232
Episode: 9 | Return: 1.7249763710858212
Episode: 0 | Return: 1.2274679743488799
Episode: 1 | Return: 1.0958103182800563
Episode: 2 | Return: 1.2639361029938274
Episode: 3 | Return: 1.0732435331606556
Episode: 4 | Return: 1.2734937829362591
Episode: 5 | Return: 1.1073601464743197
Episode: 6 | Return: 1.0716082464293932
Episode: 7 | Return: 1.0924075787527094
Episode: 8 | Return: 1.2255261074349708
Episode: 9 | Return: 1.2035178980062569
1900
Episode: 0 | Return: 0.45275568966665436
Episode: 1 | Return: -0.04314149379673149
Episode: 2 | Return: 0.17367925005381507
Episode: 3 | Return: 0.16089820308555774
Episode: 4 | Return: 0.2145188206974925
Episode: 5 | Return: 0.007698648462678537
Episode: 6 | Return: 0.49787499226820575
Episode: 7 | Return: -0.02269730913593615
Episode: 8 | Return: 0.27312042905258854
Episode: 9 | Return: 0.48619304406010755
Episode: 0 | Return: -0.5867196227884859
Episode: 1 | Return: -1.1737068108845556
Episode: 2 | Return: -0.6407526036314484
Episode: 3 | Return: -1.147183815915461
Episode: 4 | Return: -0.840515123334919
Episode: 5 | Return: -0.7299146446710977
Episode: 6 | Return: -0.45564257502900707
Episode: 7 | Return: -1.1154485847474715
Episode: 8 | Return: -0.7133051364318775
Episode: 9 | Return: -0.8104504719928891
2000
Episode: 0 | Return: -1.9019957509240557
Episode: 1 | Return: -2.5004553302106665
Episode: 2 | Return: -2.271895036391612
Episode: 3 | Return: -2.5339525759044337
Episode: 4 | Return: -2.63008976825669
Episode: 5 | Return: -2.2794331197138384
Episode: 6 | Return: -2.4096542509393304
Episode: 7 | Return: -1.9845962581492784
Episode: 8 | Return: -2.4326982300126634
Episode: 9 | Return: -2.720959964093059
[    10 episode,    21494 total steps] average reward for past 500 iterations: 1.696
Last best model saved with reward: 97.00, at episode 1480.
Episode: 0 | Return: -4.803100398052673
Episode: 1 | Return: -6.3119081601766895
Episode: 2 | Return: -5.739417513291896
Episode: 3 | Return: -6.259339641585855
Episode: 4 | Return: -6.134854468554742
Episode: 5 | Return: -6.0315843709888135
Episode: 6 | Return: -5.8714717014132045
Episode: 7 | Return: -4.7436240158043494
Episode: 8 | Return: -4.75413685998193
Episode: 9 | Return: -6.21315206418779
2100
Episode: 0 | Return: -9.140088470702517
Episode: 1 | Return: -7.8775065250637875
Episode: 2 | Return: -8.726663488607656
Episode: 3 | Return: -9.280176331954415
Episode: 4 | Return: -8.35870359525236
Episode: 5 | Return: -9.936927361269817
Episode: 6 | Return: -8.933412845730045
Episode: 7 | Return: -8.547988515941412
