100
Episode: 0 | Return: 35.46839386032787
Episode: 1 | Return: 35.679642214867215
Episode: 2 | Return: 50.492547885253785
Episode: 3 | Return: 39.00659365506809
Episode: 4 | Return: 37.53527986925858
Episode: 5 | Return: 53.687578644302675
Episode: 6 | Return: 53.38420991531609
Episode: 7 | Return: 37.62238885784673
Episode: 8 | Return: 52.39989341830846
Episode: 9 | Return: 48.259497047722974
200
Episode: 0 | Return: 76.33546833450642
Episode: 1 | Return: 130.44798997360022
Episode: 2 | Return: 16.9140342716366
Episode: 3 | Return: 70.83403063827446
Episode: 4 | Return: 16.072104087427352
Episode: 5 | Return: 28.967953311667035
Episode: 6 | Return: 11.087811259006212
Episode: 7 | Return: 116.3360866191721
Episode: 8 | Return: 18.044140105417377
Episode: 9 | Return: 51.30267197316119
300
Episode: 0 | Return: 55.715400809943596
Episode: 1 | Return: 55.98214137522824
Episode: 2 | Return: 58.39503495514191
Episode: 3 | Return: 55.6291889602123
Episode: 4 | Return: 55.91487429322738
Episode: 5 | Return: 55.5404662077633
Episode: 6 | Return: 56.016069630145324
Episode: 7 | Return: 55.97018391862338
Episode: 8 | Return: 55.75299890630786
Episode: 9 | Return: 55.94086183401868
400
Episode: 0 | Return: 56.13004477692472
Episode: 1 | Return: 55.5174828859441
Episode: 2 | Return: 57.139208617245124
Episode: 3 | Return: 58.59946933115698
Episode: 4 | Return: 59.505680310367666
Episode: 5 | Return: 56.79264380697699
Episode: 6 | Return: 58.65266493882955
Episode: 7 | Return: 56.50656047934588
Episode: 8 | Return: 58.452042949504204
Episode: 9 | Return: 56.86946232527638
500
Episode: 0 | Return: 46.94301089114491
Episode: 1 | Return: 47.06515708973322
Episode: 2 | Return: 47.10653785463126
Episode: 3 | Return: 44.95228318083731
Episode: 4 | Return: 47.21193073758563
Episode: 5 | Return: 45.05690889712418
Episode: 6 | Return: 46.908780499308
Episode: 7 | Return: 46.18247947649815
Episode: 8 | Return: 46.50108340758059
Episode: 9 | Return: 46.144558249936814
600
Episode: 0 | Return: 57.49753197395063
Episode: 1 | Return: 66.39775851084121
Episode: 2 | Return: 56.579913035259125
Episode: 3 | Return: 54.56938596899079
Episode: 4 | Return: 59.56505568190062
Episode: 5 | Return: 56.9290453321204
Episode: 6 | Return: 61.88103874393459
Episode: 7 | Return: 56.981358132401034
Episode: 8 | Return: 59.50921416104918
Episode: 9 | Return: 54.93976307989702
700
Episode: 0 | Return: 61.39844235521985
Episode: 1 | Return: 64.30262656539003
Episode: 2 | Return: 61.88626608390909
Episode: 3 | Return: 60.981047440449856
Episode: 4 | Return: 59.00564622945304
Episode: 5 | Return: 63.48494561906253
Episode: 6 | Return: 65.28874894788356
Episode: 7 | Return: 63.57466595293744
Episode: 8 | Return: 58.910838125107716
Episode: 9 | Return: 58.948148273937456
800
Episode: 0 | Return: 64.25196934733816
Episode: 1 | Return: 56.55923744470782
Episode: 2 | Return: 61.44448530569796
Episode: 3 | Return: 64.04280419565
Episode: 4 | Return: 63.42239340418685
Episode: 5 | Return: 63.767833098853856
Episode: 6 | Return: 59.42464506541575
Episode: 7 | Return: 56.80364947831021
Episode: 8 | Return: 61.6446910572891
Episode: 9 | Return: 59.68068959147817
900
Episode: 0 | Return: 65.59000371580471
Episode: 1 | Return: 66.50586644730589
Episode: 2 | Return: 62.102611492044716
Episode: 3 | Return: 64.88042980534249
Episode: 4 | Return: 70.74391535297805
Episode: 5 | Return: 64.4152196246639
Episode: 6 | Return: 63.07003458032835
Episode: 7 | Return: 65.95807644861864
Episode: 8 | Return: 69.38323859564994
Episode: 9 | Return: 72.26410536589297
1000
Episode: 0 | Return: 58.954646766551505
Episode: 1 | Return: 59.764198143897865
Episode: 2 | Return: 59.61853505738792
Episode: 3 | Return: 62.312159760426184
Episode: 4 | Return: 62.23327338538081
Episode: 5 | Return: 59.82037239663904
Episode: 6 | Return: 59.478268383717555
Episode: 7 | Return: 62.28352785305762
Episode: 8 | Return: 62.608719719649834
Episode: 9 | Return: 60.35926578034176
1100
Episode: 0 | Return: 67.74403850799415
Episode: 1 | Return: 67.96021829618712
Episode: 2 | Return: 70.50122347212901
Episode: 3 | Return: 71.14900365869025
Episode: 4 | Return: 68.47322554313766
Episode: 5 | Return: 68.21849606703574
Episode: 6 | Return: 66.55167737439069
Episode: 7 | Return: 66.6545549100385
Episode: 8 | Return: 69.13586958695413
Episode: 9 | Return: 65.32853027968963
1200
Episode: 0 | Return: 67.50060149331725
Episode: 1 | Return: 64.03201177896707
Episode: 2 | Return: 67.0160945850432
Episode: 3 | Return: 65.15684279822678
Episode: 4 | Return: 66.80745879509514
Episode: 5 | Return: 64.36296360932494
Episode: 6 | Return: 67.17693620859451
Episode: 7 | Return: 64.98321554647593
Episode: 8 | Return: 67.23102168818339
Episode: 9 | Return: 64.96654484283818
1300
Episode: 0 | Return: 61.44981100837191
Episode: 1 | Return: 66.95014453624638
Episode: 2 | Return: 61.46898949792608
Episode: 3 | Return: 62.96749114843454
Episode: 4 | Return: 73.60842075834461
Episode: 5 | Return: 63.42254836327469
Episode: 6 | Return: 66.4693364720092
Episode: 7 | Return: 72.04635013528866
Episode: 8 | Return: 64.91140207339636
Episode: 9 | Return: 63.55721882856782
1400
Episode: 0 | Return: 64.23352901296077
Episode: 1 | Return: 63.60608650687149
Episode: 2 | Return: 62.2075881168517
Episode: 3 | Return: 63.36442220595446
Episode: 4 | Return: 63.31742543748905
Episode: 5 | Return: 65.35431199726092
Episode: 6 | Return: 60.80267314291778
Episode: 7 | Return: 64.16852576123252
Episode: 8 | Return: 63.498015984869525
Episode: 9 | Return: 63.41050836165212
1500
Episode: 0 | Return: 48.73441923064647
Episode: 1 | Return: 53.25880032368587
Episode: 2 | Return: 48.847585588570006
Episode: 3 | Return: 48.7625743528915
Episode: 4 | Return: 49.98486360040078
Episode: 5 | Return: 48.56097580539024
Episode: 6 | Return: 46.42358782927201
Episode: 7 | Return: 46.753080754252125
Episode: 8 | Return: 53.00351213110695
Episode: 9 | Return: 48.46993652340774
1600
Episode: 0 | Return: 70.72228481644936
Episode: 1 | Return: 71.04933118579004
Episode: 2 | Return: 69.7902136204348
Episode: 3 | Return: 70.67352926527538
Episode: 4 | Return: 71.38533350944287
Episode: 5 | Return: 74.76823299769165
Episode: 6 | Return: 70.86936302496521
Episode: 7 | Return: 71.86142970489223
Episode: 8 | Return: 72.79029581705004
Episode: 9 | Return: 71.67344353493448
1700
Episode: 0 | Return: 61.923594226587234
Episode: 1 | Return: 64.29921022079398
Episode: 2 | Return: 55.87414243651374
Episode: 3 | Return: 64.03398032391368
Episode: 4 | Return: 66.2755254653459
Episode: 5 | Return: 94.41860558706689
Episode: 6 | Return: 61.29100786088113
Episode: 7 | Return: 63.264871457802535
Episode: 8 | Return: 62.11878003445683
Episode: 9 | Return: 61.96859694534868
1800
Episode: 0 | Return: 74.6436511129852
Episode: 1 | Return: 71.41014600250703
Episode: 2 | Return: 75.70182843161668
Episode: 3 | Return: 79.58544670454154
Episode: 4 | Return: 77.74000398259906
Episode: 5 | Return: 75.64861992710199
Episode: 6 | Return: 73.18957190561662
Episode: 7 | Return: 77.75113426313636
Episode: 8 | Return: 75.2639958287364
Episode: 9 | Return: 77.71034127964519
1900
Episode: 0 | Return: 68.87210615595346
Episode: 1 | Return: 79.4176848984969
Episode: 2 | Return: 68.84621110455721
