100
Episode: 0 | Return: 6.986293850202754
Episode: 1 | Return: 7.1545038981280875
Episode: 2 | Return: 7.101052940194532
Episode: 3 | Return: 7.095018381424675
Episode: 4 | Return: 7.2017398409823405
Episode: 5 | Return: 7.034018782234424
Episode: 6 | Return: 7.097305025783089
Episode: 7 | Return: 6.932308947605976
Episode: 8 | Return: 7.09893879907551
Episode: 9 | Return: 7.179106478085473
200
Episode: 0 | Return: 3.4584865101601627
Episode: 1 | Return: 3.6794462477020193
Episode: 2 | Return: 3.169104694667965
Episode: 3 | Return: 3.3526403842707384
Episode: 4 | Return: 3.4050024105774144
Episode: 5 | Return: 3.2665570103178774
Episode: 6 | Return: 3.451770619093955
Episode: 7 | Return: 3.1697524646292723
Episode: 8 | Return: 3.501808305474507
Episode: 9 | Return: 3.2779541976391737
300
Episode: 0 | Return: 1.6848274488386057
Episode: 1 | Return: 1.7171124051857756
Episode: 2 | Return: 1.7080739076422187
Episode: 3 | Return: 1.7179066186542928
Episode: 4 | Return: 1.5534271919257983
Episode: 5 | Return: 1.583909738773576
Episode: 6 | Return: 1.6474016054804206
Episode: 7 | Return: 1.7521128639005896
Episode: 8 | Return: 1.8094828763509125
Episode: 9 | Return: 1.6188463693396036
400
Episode: 0 | Return: 0.678808870589949
Episode: 1 | Return: 0.6215735330179409
Episode: 2 | Return: 0.6067269105971974
Episode: 3 | Return: 0.6319474626099859
Episode: 4 | Return: 0.5824161216073642
Episode: 5 | Return: 0.885595297772544
Episode: 6 | Return: 0.7563956817337203
Episode: 7 | Return: 0.5860073724500086
Episode: 8 | Return: 0.7564226682694858
Episode: 9 | Return: 0.5853174015882896
500
Episode: 0 | Return: 0.44626960614263744
Episode: 1 | Return: 0.6036738125855725
Episode: 2 | Return: 0.3936811018581067
Episode: 3 | Return: 0.33408104167206454
Episode: 4 | Return: 0.685929203328842
Episode: 5 | Return: 0.5899803021266659
Episode: 6 | Return: 0.42177472565007823
Episode: 7 | Return: 0.39575493411353757
Episode: 8 | Return: 0.2834952940512596
Episode: 9 | Return: 0.4161949011483008
600
Episode: 0 | Return: 0.39392312129341867
Episode: 1 | Return: 0.7073429260395958
Episode: 2 | Return: 0.5372653748938931
Episode: 3 | Return: 0.2972348114598645
Episode: 4 | Return: 0.2718408915890136
Episode: 5 | Return: 0.42935722693727796
Episode: 6 | Return: 0.33973604687503955
Episode: 7 | Return: 0.5349253315788816
Episode: 8 | Return: 0.667544168838495
Episode: 9 | Return: 0.4719575256653423
700
Episode: 0 | Return: 0.6665485145731487
Episode: 1 | Return: 0.8433341044568468
Episode: 2 | Return: 0.5995310048382964
Episode: 3 | Return: 0.8541298382908367
Episode: 4 | Return: 0.5631363185546581
Episode: 5 | Return: 0.5853303524460622
Episode: 6 | Return: 0.7445748991856165
Episode: 7 | Return: 0.6680387684728929
Episode: 8 | Return: 0.7142944406846734
Episode: 9 | Return: 0.688363196815978
800
Episode: 0 | Return: 0.8696501285028759
Episode: 1 | Return: 0.8147747356101307
Episode: 2 | Return: 0.8230685832671636
Episode: 3 | Return: 0.732981218135763
Episode: 4 | Return: 0.7311332014511674
Episode: 5 | Return: 0.6000472831350183
Episode: 6 | Return: 0.9240949574559053
Episode: 7 | Return: 0.833165508150666
Episode: 8 | Return: 0.8243942861688277
Episode: 9 | Return: 0.7074907982342953
900
Episode: 0 | Return: 3.383183054346288
Episode: 1 | Return: 3.962196404301739
Episode: 2 | Return: 3.2700507423926113
Episode: 3 | Return: 4.292669887544114
Episode: 4 | Return: 3.4196849865150396
Episode: 5 | Return: 3.4236476058843377
