Episode: 0 | Return: 0.2044523746715342
Episode: 1 | Return: 0.30789148160435564
Episode: 2 | Return: 0.2563107136305508
Episode: 3 | Return: 0.15758573935584808
Episode: 4 | Return: 0.27510417062525416
Episode: 5 | Return: 0.18447318873506413
Episode: 6 | Return: 0.35539701470854845
Episode: 7 | Return: 0.3110024279619408
Episode: 8 | Return: 0.11791544670216836
Episode: 9 | Return: 0.11091831163123755
100
Episode: 0 | Return: 35.693245701193575
Episode: 1 | Return: 35.77653779695186
Episode: 2 | Return: 35.79875111324732
Episode: 3 | Return: 35.2650995586923
Episode: 4 | Return: 35.703544968824964
Episode: 5 | Return: 36.35704823865436
Episode: 6 | Return: 35.31276413822466
Episode: 7 | Return: 35.54470373225119
Episode: 8 | Return: 36.126510436940464
Episode: 9 | Return: 35.81446690786577
Episode: 0 | Return: 37.25344913931267
Episode: 1 | Return: 36.81572428141348
Episode: 2 | Return: 36.48148645946434
Episode: 3 | Return: 34.949618895871545
Episode: 4 | Return: 37.10101466350132
Episode: 5 | Return: 39.028279934587694
Episode: 6 | Return: 37.22155774977857
Episode: 7 | Return: 35.03343208440748
Episode: 8 | Return: 36.83307388361359
Episode: 9 | Return: 36.89691274707569
200
Episode: 0 | Return: 34.733878056558346
Episode: 1 | Return: 32.95271300985928
Episode: 2 | Return: 33.13529586597901
Episode: 3 | Return: 34.66073489560373
Episode: 4 | Return: 34.894111362015956
Episode: 5 | Return: 32.920254407532894
Episode: 6 | Return: 33.10321945178117
Episode: 7 | Return: 33.021291925921766
Episode: 8 | Return: 32.92286644962788
Episode: 9 | Return: 32.851478867672924
Episode: 0 | Return: 41.118884438322254
Episode: 1 | Return: 38.977739140559564
Episode: 2 | Return: 42.80416699673597
Episode: 3 | Return: 42.834175203271094
Episode: 4 | Return: 34.68901471455984
Episode: 5 | Return: 40.5158684448573
Episode: 6 | Return: 36.76846391426285
Episode: 7 | Return: 37.16753131218425
Episode: 8 | Return: 38.84980302126396
Episode: 9 | Return: 40.667437660112874
300
Episode: 0 | Return: 79.9678968410048
Episode: 1 | Return: 135.879851449118
Episode: 2 | Return: 63.49867491545645
Episode: 3 | Return: 63.2888514855848
Episode: 4 | Return: 61.28646676306771
Episode: 5 | Return: 61.280938381613225
Episode: 6 | Return: 71.07393758495682
Episode: 7 | Return: 63.201789514289906
Episode: 8 | Return: 80.71998102342133
Episode: 9 | Return: 95.70180354648897
Episode: 0 | Return: 28.055235580146835
Episode: 1 | Return: 64.67862642637199
Episode: 2 | Return: 65.54230526168105
Episode: 3 | Return: 61.74672529752308
Episode: 4 | Return: 55.920657132144754
Episode: 5 | Return: 28.388938084048537
Episode: 6 | Return: 64.47234769155165
Episode: 7 | Return: 64.79530554740325
Episode: 8 | Return: 64.74678855024128
Episode: 9 | Return: 66.72514324259407
400
Episode: 0 | Return: 3.6280289234482774
Episode: 1 | Return: 3.6049679966761103
Episode: 2 | Return: 3.658604710134278
Episode: 3 | Return: 3.6879200958655463
Episode: 4 | Return: 3.6205358866531245
Episode: 5 | Return: 3.6376258008651963
Episode: 6 | Return: 3.573333471632945
Episode: 7 | Return: 3.5456759965455156
Episode: 8 | Return: 3.6287134793776774
Episode: 9 | Return: 3.6236437171286413
Episode: 0 | Return: -12.92022471351402
Episode: 1 | Return: -12.954847210262608
Episode: 2 | Return: -13.09590937998679
Episode: 3 | Return: -12.7552742010406
Episode: 4 | Return: -12.886534002971578
Episode: 5 | Return: -12.822464309390417
Episode: 6 | Return: -12.599756481422176
Episode: 7 | Return: -12.619933028353017
Episode: 8 | Return: -12.641534532664807
Episode: 9 | Return: -12.664423745738276
500
Episode: 0 | Return: -1.3298768416262012
Episode: 1 | Return: -1.5716243927093752
Episode: 2 | Return: -2.093328785383959
Episode: 3 | Return: -1.4477466879322007
Episode: 4 | Return: -1.2406109076780116
Episode: 5 | Return: -1.3083954063629868
Episode: 6 | Return: -1.5871039161880027
Episode: 7 | Return: -1.5345202079574518
Episode: 8 | Return: -1.3892060447344072
Episode: 9 | Return: -1.377104951451094
[    10 episode,    10114 total steps] average reward for past 500 iterations: -11.156
Last best model saved with reward: 128.39, at episode 347.
Episode: 0 | Return: 3.0805240160040173
Episode: 1 | Return: 3.0688368230687573
Episode: 2 | Return: 3.2085390574911177
Episode: 3 | Return: 3.183453338396593
Episode: 4 | Return: 3.2422277759332854
Episode: 5 | Return: 3.2838702043669126
Episode: 6 | Return: 2.9883792132954548
Episode: 7 | Return: 3.026247427898654
Episode: 8 | Return: 2.978777122942975
Episode: 9 | Return: 3.113540603628442
600
Episode: 0 | Return: 46.966485464535495
Episode: 1 | Return: 50.93177954273862
Episode: 2 | Return: 46.99035496737185
Episode: 3 | Return: 31.663004856445994
Episode: 4 | Return: 48.34858117944314
Episode: 5 | Return: 31.222751715327785
Episode: 6 | Return: 45.87117469243219
Episode: 7 | Return: 47.10648940133586
Episode: 8 | Return: 46.92715219341548
Episode: 9 | Return: 48.651162144005916
Episode: 0 | Return: 56.57024448361643
Episode: 1 | Return: 51.30614477583734
Episode: 2 | Return: 53.87148745280584
Episode: 3 | Return: 52.67476091753272
Episode: 4 | Return: 52.85599116035328
Episode: 5 | Return: 53.65676916673626
Episode: 6 | Return: 54.527417335595736
Episode: 7 | Return: 53.80595222373816
Episode: 8 | Return: 54.40089004748792
Episode: 9 | Return: 51.64266798033213
700
Episode: 0 | Return: 43.3737212408947
Episode: 1 | Return: 60.602597474742296
Episode: 2 | Return: 42.1264847647639
Episode: 3 | Return: 43.82811164707266
Episode: 4 | Return: 44.16563235652045
Episode: 5 | Return: 42.11529231005085
Episode: 6 | Return: 43.7834078584467
Episode: 7 | Return: 42.038099272602125
Episode: 8 | Return: 43.61555346528625
Episode: 9 | Return: 42.70239453115392
Episode: 0 | Return: 41.763422268454875
