25400
Episode: 0 | Return: 50.89038384105683
Episode: 1 | Return: 49.98618621672826
Episode: 2 | Return: 50.27468861779721
Episode: 3 | Return: 50.70610901281536
Episode: 4 | Return: 52.20345494207591
Episode: 5 | Return: 50.17500896136633
Episode: 6 | Return: 50.17910243280144
Episode: 7 | Return: 50.330598968554995
Episode: 8 | Return: 50.260222295246884
Episode: 9 | Return: 50.110072694469146
Episode: 0 | Return: 56.35700780626086
Episode: 1 | Return: 56.07822072058754
Episode: 2 | Return: 50.729999645650146
Episode: 3 | Return: 58.08174727940374
Episode: 4 | Return: 58.35991055755897
Episode: 5 | Return: 58.00734475566187
Episode: 6 | Return: 48.75251310800616
Episode: 7 | Return: 54.69169025316164
Episode: 8 | Return: 58.533111410189676
Episode: 9 | Return: 58.52119594219417
25500
Episode: 0 | Return: 71.92425042359814
Episode: 1 | Return: 62.548888679957585
Episode: 2 | Return: 64.41922237241798
Episode: 3 | Return: 69.58240701560199
Episode: 4 | Return: 57.98859723952942
Episode: 5 | Return: 57.45195233762953
Episode: 6 | Return: 70.19987904692913
Episode: 7 | Return: 62.398487054466386
Episode: 8 | Return: 71.79786814962146
Episode: 9 | Return: 57.78688688360194
[    10 episode,   524345 total steps] average reward for past 500 iterations: 60.540
Last best model saved with reward: 207.92, at episode 6363.
Episode: 0 | Return: 62.32236358788315
Episode: 1 | Return: 72.97000337048146
Episode: 2 | Return: 62.90219236460026
Episode: 3 | Return: 69.9398013378505
Episode: 4 | Return: 69.6444733124447
Episode: 5 | Return: 62.921020142176175
Episode: 6 | Return: 60.881414978070154
Episode: 7 | Return: 71.249731083733
Episode: 8 | Return: 71.07444772015565
Episode: 9 | Return: 60.93214131276153
25600
Episode: 0 | Return: 74.85003727029351
Episode: 1 | Return: 57.85481763431886
Episode: 2 | Return: 57.224516294265385
Episode: 3 | Return: 58.26954198345313
Episode: 4 | Return: 78.85348429221007
Episode: 5 | Return: 57.835964961504374
Episode: 6 | Return: 76.76746412435739
Episode: 7 | Return: 58.96003425020159
Episode: 8 | Return: 71.09849575820192
Episode: 9 | Return: 58.973372356741166
Episode: 0 | Return: 88.14801508114974
Episode: 1 | Return: 57.72752867642477
Episode: 2 | Return: 86.783091835178
Episode: 3 | Return: 83.03732945089102
Episode: 4 | Return: 90.55393486472268
Episode: 5 | Return: 57.987507140260966
Episode: 6 | Return: 56.759954480112185
Episode: 7 | Return: 81.39318363593792
Episode: 8 | Return: 88.64422535949086
Episode: 9 | Return: 82.97426049459354
25700
