100
Episode: 0 | Return: 85.63517405687703
Episode: 1 | Return: 93.65210940875379
Episode: 2 | Return: 81.90801316532364
Episode: 3 | Return: 52.1053678893338
Episode: 4 | Return: 77.66858316262814
Episode: 5 | Return: 86.33775506472263
Episode: 6 | Return: 77.84304440088559
Episode: 7 | Return: 90.81399061785633
Episode: 8 | Return: 81.13532786563118
Episode: 9 | Return: 81.34138253770492
Episode: 0 | Return: 76.82892985171944
Episode: 1 | Return: 50.668197329354555
Episode: 2 | Return: 74.14242024999307
Episode: 3 | Return: 70.51012855510118
Episode: 4 | Return: 75.75191379331098
Episode: 5 | Return: 75.56476484202433
Episode: 6 | Return: 75.41961413201649
Episode: 7 | Return: 69.7228784679046
Episode: 8 | Return: 72.9037836413605
Episode: 9 | Return: 70.19738695432672
200
Episode: 0 | Return: 44.65020794362737
Episode: 1 | Return: 47.84277589185889
Episode: 2 | Return: 65.63279547484336
Episode: 3 | Return: 49.88916443532163
Episode: 4 | Return: 62.667086419175945
Episode: 5 | Return: 47.63613475672701
Episode: 6 | Return: 47.21546995719125
Episode: 7 | Return: 47.72075004328185
Episode: 8 | Return: 49.15286096569641
Episode: 9 | Return: 47.38042052281988
Episode: 0 | Return: 65.29760276505654
Episode: 1 | Return: 66.45897456256654
Episode: 2 | Return: 65.82665505304527
Episode: 3 | Return: 51.41809953982115
Episode: 4 | Return: 48.233046826632275
Episode: 5 | Return: 46.41029338813879
Episode: 6 | Return: 49.607745699593785
Episode: 7 | Return: 65.09104081993323
Episode: 8 | Return: 44.59839351916806
Episode: 9 | Return: 63.80392484045063
300
Episode: 0 | Return: 44.17596613463643
Episode: 1 | Return: 30.4951694435385
Episode: 2 | Return: 23.49193380787804
Episode: 3 | Return: 25.101738826485022
Episode: 4 | Return: 38.3471679575836
Episode: 5 | Return: 42.34644150639165
Episode: 6 | Return: 23.591364599690376
Episode: 7 | Return: 27.76264364757357
Episode: 8 | Return: 44.85748807217787
Episode: 9 | Return: 25.04914103709066
Episode: 0 | Return: 23.436539888441303
Episode: 1 | Return: 23.698872054506296
Episode: 2 | Return: 29.427677347132303
Episode: 3 | Return: 25.38874095479916
Episode: 4 | Return: 25.140651666429758
Episode: 5 | Return: 23.388721207650352
Episode: 6 | Return: 27.763698852862426
Episode: 7 | Return: 30.802738982324815
Episode: 8 | Return: 23.180356979076695
Episode: 9 | Return: 23.415880542962764
400
Episode: 0 | Return: 23.468779415633584
Episode: 1 | Return: 23.419637754976286
Episode: 2 | Return: 23.685338298743368
Episode: 3 | Return: 28.975249263052447
Episode: 4 | Return: 23.363775526596473
Episode: 5 | Return: 25.391257853440077
Episode: 6 | Return: 25.63954525923083
Episode: 7 | Return: 21.550786180576793
Episode: 8 | Return: 23.460296928832346
Episode: 9 | Return: 23.514729599031668
Episode: 0 | Return: 23.601949820637117
Episode: 1 | Return: 25.11769316837932
Episode: 2 | Return: 25.373080715718157
Episode: 3 | Return: 25.39115175647368
Episode: 4 | Return: 25.471574084646903
Episode: 5 | Return: 21.588421041236277
Episode: 6 | Return: 25.20714232489891
Episode: 7 | Return: 25.284221822123165
Episode: 8 | Return: 25.280993757924296
Episode: 9 | Return: 23.403234823019677
500
Episode: 0 | Return: 29.167563981727888
Episode: 1 | Return: 29.112353144813806
Episode: 2 | Return: 29.09411530709786
Episode: 3 | Return: 29.06664864359587
Episode: 4 | Return: 28.981956501638223
Episode: 5 | Return: 33.00252897547452
Episode: 6 | Return: 30.855028544277978
Episode: 7 | Return: 28.909099827866314
Episode: 8 | Return: 31.0636765516889
Episode: 9 | Return: 29.112546009312872
Episode: 0 | Return: 46.37564167342178
Episode: 1 | Return: 48.55473385314991
Episode: 2 | Return: 39.80180056844316
Episode: 3 | Return: 44.05851752586463
Episode: 4 | Return: 50.50350436977777
Episode: 5 | Return: 44.30840308543327
Episode: 6 | Return: 41.842305209106904
Episode: 7 | Return: 43.988612398299516
Episode: 8 | Return: 56.057756463311534
Episode: 9 | Return: 46.50330655043715
600
Episode: 0 | Return: 54.01338466036593
Episode: 1 | Return: 50.96602152539485
Episode: 2 | Return: 68.02697995070741
Episode: 3 | Return: 68.42894383641902
Episode: 4 | Return: 66.54420540248526
Episode: 5 | Return: 56.220731597873275
Episode: 6 | Return: 44.540853288971576
Episode: 7 | Return: 69.09020150728276
Episode: 8 | Return: 68.03831321429688
Episode: 9 | Return: 64.15354867359291
Episode: 0 | Return: 74.53100404736566
Episode: 1 | Return: 74.28783331741869
Episode: 2 | Return: 72.81073136367712
Episode: 3 | Return: 32.09871858324711
Episode: 4 | Return: 34.056001288626575
Episode: 5 | Return: 74.48624681779911
Episode: 6 | Return: 73.58051642488338
Episode: 7 | Return: 102.53860956557136
Episode: 8 | Return: 33.78436351363346
Episode: 9 | Return: 76.53126955540866
700
Episode: 0 | Return: 72.90520758379797
Episode: 1 | Return: 34.61761424802149
Episode: 2 | Return: 102.77260500123994
Episode: 3 | Return: 76.97180782597344
Episode: 4 | Return: 57.985732998654704
Episode: 5 | Return: 34.684231432328694
Episode: 6 | Return: 76.0415330724264
Episode: 7 | Return: 78.41979726874129
Episode: 8 | Return: 35.06244116188426
Episode: 9 | Return: 36.31912409793491
Episode: 0 | Return: 101.43377087095232
Episode: 1 | Return: 53.576794528824685
Episode: 2 | Return: 53.51214503090174
Episode: 3 | Return: 78.57490732434049
Episode: 4 | Return: 78.02789037069029
Episode: 5 | Return: 96.3865515527715
Episode: 6 | Return: 47.17080903617476
Episode: 7 | Return: 77.65925680660926
Episode: 8 | Return: 99.25824291414182
Episode: 9 | Return: 76.16223069262341
800
Episode: 0 | Return: 103.40635060785873
Episode: 1 | Return: 100.09209963779702
Episode: 2 | Return: 98.44449211420579
Episode: 3 | Return: 79.62774638152841
Episode: 4 | Return: 75.8614870822154
Episode: 5 | Return: 46.44404830363068
Episode: 6 | Return: 97.93683173560245
Episode: 7 | Return: 102.2759342917357
Episode: 8 | Return: 44.962017167588336
Episode: 9 | Return: 100.8626409028199
Episode: 0 | Return: 33.955736562703564
Episode: 1 | Return: 35.56651591079492
Episode: 2 | Return: 33.51984314342522
Episode: 3 | Return: 33.66272030752022
Episode: 4 | Return: 33.74552630327173
Episode: 5 | Return: 40.03412410279086
Episode: 6 | Return: 34.36983999049614
Episode: 7 | Return: 80.1568989074918
Episode: 8 | Return: 33.85659467264724
Episode: 9 | Return: 33.82994391106891
900
Episode: 0 | Return: 33.56042552384175
Episode: 1 | Return: 33.45680193254398
Episode: 2 | Return: 37.95495541395931
Episode: 3 | Return: 33.26709263204953
Episode: 4 | Return: 33.64472898652263
Episode: 5 | Return: 34.12760713274286
Episode: 6 | Return: 35.78284692374104
Episode: 7 | Return: 33.953645530567755
Episode: 8 | Return: 101.16205328119183
Episode: 9 | Return: 33.30085521718999
Episode: 0 | Return: 85.47885749045403
Episode: 1 | Return: 37.290577464353426
Episode: 2 | Return: 35.15474829225219
Episode: 3 | Return: 114.53644177066927
Episode: 4 | Return: 41.344267971156064
Episode: 5 | Return: 66.53983755011251
Episode: 6 | Return: 39.312882941007835
Episode: 7 | Return: 39.30950112068251
Episode: 8 | Return: 100.83549214981826
Episode: 9 | Return: 89.31390193199046
1000
Episode: 0 | Return: 69.52438344619162
Episode: 1 | Return: 65.71893766314169
Episode: 2 | Return: 81.34586060251665
Episode: 3 | Return: 110.61080579228734
Episode: 4 | Return: 98.18887237957789
Episode: 5 | Return: 84.24244498383398
Episode: 6 | Return: 94.939164962723
Episode: 7 | Return: 67.97989436442498
Episode: 8 | Return: 102.37035372852829
Episode: 9 | Return: 39.34762189514437
Episode: 0 | Return: 56.7781028610081
Episode: 1 | Return: 69.88837848906556
Episode: 2 | Return: 56.153053353963216
Episode: 3 | Return: 77.86628911858487
Episode: 4 | Return: 73.47455954620783
Episode: 5 | Return: 76.27133308467988
Episode: 6 | Return: 73.06361250962188
Episode: 7 | Return: 57.59219879425608
Episode: 8 | Return: 53.08071376869002
Episode: 9 | Return: 78.82737898950661
1100
Episode: 0 | Return: 52.654210642116844
Episode: 1 | Return: 76.3511095252989
Episode: 2 | Return: 68.1826357736394
Episode: 3 | Return: 74.63662458653677
Episode: 4 | Return: 54.425793833311054
Episode: 5 | Return: 74.10987480515021
Episode: 6 | Return: 74.065033158054
Episode: 7 | Return: 77.83219237048182
Episode: 8 | Return: 77.59588458071056
Episode: 9 | Return: 52.770453896950684
Episode: 0 | Return: 72.81813187229322
Episode: 1 | Return: 77.67533917144719
Episode: 2 | Return: 53.247026342205395
Episode: 3 | Return: 78.24442632000734
Episode: 4 | Return: 36.82792934444132
Episode: 5 | Return: 36.55705055128262
Episode: 6 | Return: 73.27688371145526
Episode: 7 | Return: 75.09159938548937
Episode: 8 | Return: 73.24735264093857
Episode: 9 | Return: 54.93931991862736
1200
Episode: 0 | Return: 69.72953443400492
Episode: 1 | Return: 71.57176039313612
Episode: 2 | Return: 70.53736857535506
Episode: 3 | Return: 68.24675224457184
Episode: 4 | Return: 31.741445178007492
Episode: 5 | Return: 72.65827368129536
Episode: 6 | Return: 66.41563313052026
Episode: 7 | Return: 70.01554255090655
Episode: 8 | Return: 30.081863862769204
Episode: 9 | Return: 70.32771802287317
Episode: 0 | Return: 67.20276068428035
Episode: 1 | Return: 65.4335434692423
Episode: 2 | Return: 69.14732211507484
Episode: 3 | Return: 62.58573158957609
Episode: 4 | Return: 31.645518678041427
Episode: 5 | Return: 53.75328069218539
Episode: 6 | Return: 53.90044483485938
Episode: 7 | Return: 66.14820131498797
Episode: 8 | Return: 73.60580013156252
Episode: 9 | Return: 74.75859026621615
1300
Episode: 0 | Return: 66.77642771151561
Episode: 1 | Return: 73.86565553479913
Episode: 2 | Return: 71.80177094769262
Episode: 3 | Return: 71.35167959388207
Episode: 4 | Return: 71.40890118060688
Episode: 5 | Return: 69.848655883918
Episode: 6 | Return: 69.23804281051446
Episode: 7 | Return: 68.11432074561223
Episode: 8 | Return: 70.14219201913022
Episode: 9 | Return: 71.94204907939786
Episode: 0 | Return: 41.19888981805972
Episode: 1 | Return: 38.88885527992321
Episode: 2 | Return: 46.173370712709236
Episode: 3 | Return: 37.81653054500172
Episode: 4 | Return: 39.756305556652585
Episode: 5 | Return: 39.76736611243735
Episode: 6 | Return: 41.714806238197085
Episode: 7 | Return: 72.2304430247479
Episode: 8 | Return: 44.738571963050745
Episode: 9 | Return: 44.70077994416615
1400
Episode: 0 | Return: 39.329316409201965
Episode: 1 | Return: 36.53412719380373
Episode: 2 | Return: 73.83671866199234
Episode: 3 | Return: 37.959531534931685
Episode: 4 | Return: 39.812963996684765
Episode: 5 | Return: 41.48802779335498
Episode: 6 | Return: 39.82502825722074
Episode: 7 | Return: 42.37155774902873
Episode: 8 | Return: 42.59480629364251
Episode: 9 | Return: 39.899178924930446
Episode: 0 | Return: 33.42740917429788
Episode: 1 | Return: 76.72447738322886
Episode: 2 | Return: 75.60549056899752
Episode: 3 | Return: 31.35874688122582
Episode: 4 | Return: 31.311696215121753
Episode: 5 | Return: 33.15896159896072
Episode: 6 | Return: 31.51708981885117
Episode: 7 | Return: 31.132390664280386
Episode: 8 | Return: 68.72472190442062
Episode: 9 | Return: 31.59747508786584
1500
Episode: 0 | Return: 74.90202024918223
Episode: 1 | Return: 74.49161433312636
Episode: 2 | Return: 33.885502797203905
Episode: 3 | Return: 72.21075664501284
Episode: 4 | Return: 33.98022190189384
Episode: 5 | Return: 74.71749947087976
Episode: 6 | Return: 33.690877238058434
Episode: 7 | Return: 75.47305064432558
Episode: 8 | Return: 74.56501051927145
Episode: 9 | Return: 76.93983852647672
[    10 episode,    49006 total steps] average reward for past 1500 iterations: 56.024
Last best model saved with reward: 224.18, at episode 1383.
Episode: 0 | Return: 49.308878243079775
Episode: 1 | Return: 84.51060238433581
Episode: 2 | Return: 78.6553304543604
Episode: 3 | Return: 85.02581057392919
Episode: 4 | Return: 81.49897527220813
Episode: 5 | Return: 47.06719962305717
Episode: 6 | Return: 49.13003278792698
Episode: 7 | Return: 51.86469697404246
Episode: 8 | Return: 49.214912135760365
Episode: 9 | Return: 52.19868368315313
1600
Episode: 0 | Return: 60.4375443930643
Episode: 1 | Return: 125.29409074818484
Episode: 2 | Return: 61.55070892261156
Episode: 3 | Return: 62.753293130230354
Episode: 4 | Return: 95.21033340829204
Episode: 5 | Return: 117.73354859648593
Episode: 6 | Return: 61.32496008437414
Episode: 7 | Return: 66.04340750929191
Episode: 8 | Return: 85.02423003304182
Episode: 9 | Return: 38.9490224425204
Episode: 0 | Return: 50.51583034423197
Episode: 1 | Return: 56.076753350180006
Episode: 2 | Return: 49.448828403524296
Episode: 3 | Return: 46.176645147279054
Episode: 4 | Return: 49.87643688835074
Episode: 5 | Return: 46.342942348261396
Episode: 6 | Return: 45.20648713222886
Episode: 7 | Return: 55.73870308295096
Episode: 8 | Return: 47.910873671700706
Episode: 9 | Return: 52.86285406660908
1700
Episode: 0 | Return: 70.30739913289126
Episode: 1 | Return: 109.5565833150082
Episode: 2 | Return: 85.40442678787385
Episode: 3 | Return: 81.25887959820949
Episode: 4 | Return: 34.397385758260846
