Episode: 0 | Return: 1.9383785598213201
Episode: 1 | Return: 1.7776291080402478
Episode: 2 | Return: 2.6801222327525194
Episode: 3 | Return: 3.4435845119430812
Episode: 4 | Return: 3.811993386437639
Episode: 5 | Return: 1.8703021606135892
Episode: 6 | Return: 1.437230302941002
Episode: 7 | Return: 3.173114977848333
Episode: 8 | Return: 3.292365553845317
Episode: 9 | Return: 2.0458252289574137
100
Episode: 0 | Return: 56.164117817958186
Episode: 1 | Return: 54.77970315553861
Episode: 2 | Return: 60.69177139396014
Episode: 3 | Return: 57.55386896876914
Episode: 4 | Return: 57.68734315753877
Episode: 5 | Return: 62.29509108273735
Episode: 6 | Return: 57.76330691159579
Episode: 7 | Return: 58.232227608148136
Episode: 8 | Return: 59.027902900444175
Episode: 9 | Return: 59.10972123883585
Episode: 0 | Return: 49.06936587856147
Episode: 1 | Return: 48.830775703525305
Episode: 2 | Return: 48.23709896813829
Episode: 3 | Return: 49.28641382168464
Episode: 4 | Return: 49.363984433420164
Episode: 5 | Return: 49.25236873581209
Episode: 6 | Return: 50.096241706482054
Episode: 7 | Return: 48.60905197348378
Episode: 8 | Return: 49.705999974669936
Episode: 9 | Return: 46.83629493242157
200
Episode: 0 | Return: 36.97238900917278
Episode: 1 | Return: 36.54350135243327
Episode: 2 | Return: 36.16220394155735
Episode: 3 | Return: 36.789568104080864
Episode: 4 | Return: 38.19862405642576
Episode: 5 | Return: 35.34140141241559
Episode: 6 | Return: 33.132402084790066
Episode: 7 | Return: 35.61089855690837
Episode: 8 | Return: 36.77005793060033
Episode: 9 | Return: 36.12152022719546
Episode: 0 | Return: 39.59180390376586
Episode: 1 | Return: 39.346849223870485
Episode: 2 | Return: 39.72475601303372
Episode: 3 | Return: 40.093493263060076
Episode: 4 | Return: 40.42038407453691
Episode: 5 | Return: 39.6300275105007
Episode: 6 | Return: 39.78154829505842
Episode: 7 | Return: 39.99856560778601
Episode: 8 | Return: 39.943641220448804
Episode: 9 | Return: 38.38810707013121
300
Episode: 0 | Return: 46.91141246504202
Episode: 1 | Return: 19.254070411922335
Episode: 2 | Return: 19.282303148494993
Episode: 3 | Return: 21.064514203450397
Episode: 4 | Return: 21.261846128807736
Episode: 5 | Return: 19.269421078144745
Episode: 6 | Return: 48.39217867553027
Episode: 7 | Return: 21.43461135241494
Episode: 8 | Return: 20.93235201796549
Episode: 9 | Return: 21.502366362772822
Episode: 0 | Return: 34.15681035055436
Episode: 1 | Return: 33.61606294402823
Episode: 2 | Return: 35.86501137336284
Episode: 3 | Return: 35.81759954511437
Episode: 4 | Return: 33.79032483580401
Episode: 5 | Return: 34.36404610872015
Episode: 6 | Return: 33.933917959613154
Episode: 7 | Return: 35.626199321800556
Episode: 8 | Return: 35.700361964654334
Episode: 9 | Return: 36.067890167413964
400
Episode: 0 | Return: -3.243244044165181
Episode: 1 | Return: -4.1143000690944085
Episode: 2 | Return: -3.1782954859937735
Episode: 3 | Return: -4.03657598427666
Episode: 4 | Return: -4.139036073794138
Episode: 5 | Return: -4.141704771104834
Episode: 6 | Return: -4.077911772769935
Episode: 7 | Return: -4.0680360037825425
Episode: 8 | Return: -4.0609003682753135
Episode: 9 | Return: -4.044097918197706
Episode: 0 | Return: 38.93496666941131
Episode: 1 | Return: 36.78375454182407
Episode: 2 | Return: 36.802940116640755
Episode: 3 | Return: 36.95356594656965
Episode: 4 | Return: 37.040193655860385
Episode: 5 | Return: 39.349778429541885
Episode: 6 | Return: 38.75698810776544
Episode: 7 | Return: 37.20676615628968
