Episode: 0 | Return: 4.319435598478869
Episode: 1 | Return: 4.404354338871976
Episode: 2 | Return: 4.326491115598813
Episode: 3 | Return: 4.534293694768902
Episode: 4 | Return: 4.3948288135687825
Episode: 5 | Return: 4.502256831327503
Episode: 6 | Return: 4.323163439553602
Episode: 7 | Return: 4.315154123957898
Episode: 8 | Return: 4.379546042092194
Episode: 9 | Return: 4.440479903281479
100
Episode: 0 | Return: 5.216717816984778
Episode: 1 | Return: 5.213742143666226
Episode: 2 | Return: 4.6710553242404
Episode: 3 | Return: 5.302388163603836
Episode: 4 | Return: 5.278805396207729
Episode: 5 | Return: 4.538517383224147
Episode: 6 | Return: 5.214982663633653
Episode: 7 | Return: 5.067965551223813
Episode: 8 | Return: 5.0554407177334335
Episode: 9 | Return: 4.776686046659664
Episode: 0 | Return: 46.09579713727393
Episode: 1 | Return: 46.816599121888004
Episode: 2 | Return: 46.09308832125398
Episode: 3 | Return: 45.82989386590771
Episode: 4 | Return: 45.40708105754753
Episode: 5 | Return: 45.52582295445802
Episode: 6 | Return: 46.194673063570036
Episode: 7 | Return: 46.39834044716337
Episode: 8 | Return: 46.434366375026094
Episode: 9 | Return: 36.40549929186855
200
Episode: 0 | Return: 34.08819503056585
Episode: 1 | Return: 57.50467372001232
Episode: 2 | Return: 59.223645922242696
Episode: 3 | Return: 22.690826081077702
Episode: 4 | Return: 18.577442723412105
Episode: 5 | Return: 33.00997066528561
Episode: 6 | Return: 33.03886860362331
Episode: 7 | Return: 57.55505843541933
Episode: 8 | Return: 31.21526075401416
Episode: 9 | Return: 63.71493822932829
Episode: 0 | Return: 67.74686529254363
Episode: 1 | Return: 67.50122348723004
Episode: 2 | Return: 67.9696347722171
Episode: 3 | Return: 70.15052734029837
Episode: 4 | Return: 71.50489797779365
Episode: 5 | Return: 70.63469761453155
Episode: 6 | Return: 66.9092246633086
Episode: 7 | Return: 69.63015167876887
Episode: 8 | Return: 69.28921342737557
Episode: 9 | Return: 71.55773657887704
300
Episode: 0 | Return: -11.054607854967717
Episode: 1 | Return: -10.68780651059804
Episode: 2 | Return: -11.213346619078116
Episode: 3 | Return: -11.012396903296343
Episode: 4 | Return: -11.01215927567916
Episode: 5 | Return: -10.924917996940946
Episode: 6 | Return: -10.881245259627775
Episode: 7 | Return: -11.040718765184991
Episode: 8 | Return: -10.96465421479284
Episode: 9 | Return: -10.87480256903087
Episode: 0 | Return: -9.40927259208736
Episode: 1 | Return: -9.803811336283692
Episode: 2 | Return: -9.704113884822888
Episode: 3 | Return: -8.501269091778715
Episode: 4 | Return: -7.944530592401437
Episode: 5 | Return: -8.313706943121977
Episode: 6 | Return: -8.039187040475499
Episode: 7 | Return: -9.480402815399252
Episode: 8 | Return: -8.219698028262673
Episode: 9 | Return: -9.557174342177039
400
Episode: 0 | Return: -8.123309277358008
Episode: 1 | Return: -7.046788399702912
Episode: 2 | Return: -8.242641514598331
Episode: 3 | Return: -8.067026929797501
Episode: 4 | Return: -7.885565231847586
Episode: 5 | Return: -8.412067684314522
Episode: 6 | Return: -8.271082574785588
Episode: 7 | Return: -7.6139415829359915
Episode: 8 | Return: -7.593552872629899
Episode: 9 | Return: -7.704605051518181
Episode: 0 | Return: 0.08970955810819714
Episode: 1 | Return: -3.5145632557258777
Episode: 2 | Return: -4.11856491307243
Episode: 3 | Return: 0.05050753735690339
Episode: 4 | Return: -5.350211376262656
Episode: 5 | Return: 0.4795108944321981
Episode: 6 | Return: -10.767191446175097
Episode: 7 | Return: -0.6856394729385191
Episode: 8 | Return: 0.6928004976526191
Episode: 9 | Return: -0.3712707405341913
500
Episode: 0 | Return: -2.4781112460038326
Episode: 1 | Return: -2.5742143619251765
Episode: 2 | Return: -2.7754375730070318
Episode: 3 | Return: -2.4696724517840045
Episode: 4 | Return: -2.011512109093349
Episode: 5 | Return: -1.7407091841356463
Episode: 6 | Return: -2.0871296067619998
Episode: 7 | Return: -2.658862609329479
Episode: 8 | Return: -1.7939657618714926
Episode: 9 | Return: -2.884483099869782
[    10 episode,     8612 total steps] average reward for past 500 iterations: -633.708
Last best model saved with reward: 122.62, at episode 2.
Episode: 0 | Return: 31.806159445885054
Episode: 1 | Return: -3.3216617374146584
Episode: 2 | Return: 43.650434284472546
Episode: 3 | Return: 2.176543189129717
Episode: 4 | Return: 1.1686022713894966
Episode: 5 | Return: 48.305121123521346
Episode: 6 | Return: 0.7259535588293226
Episode: 7 | Return: 40.71726735470364
Episode: 8 | Return: -0.28413806094911065
Episode: 9 | Return: -5.756338239233836
600
Episode: 0 | Return: 37.3075710332856
Episode: 1 | Return: 37.29839952470451
Episode: 2 | Return: 39.2131457943001
Episode: 3 | Return: 40.83376479122631
Episode: 4 | Return: 39.9167993575535
Episode: 5 | Return: 36.501832976646746
Episode: 6 | Return: 37.108275136013404
Episode: 7 | Return: 36.901831882011884
Episode: 8 | Return: 40.60459358179971
Episode: 9 | Return: 38.442755832159314
Episode: 0 | Return: -64.48151090958592
Episode: 1 | Return: -6.850463331637699
Episode: 2 | Return: -38.98124944534043
Episode: 3 | Return: -9.558871673477466
Episode: 4 | Return: -11.5188918436185
Episode: 5 | Return: -19.35277848506287
Episode: 6 | Return: -68.33965353808749
Episode: 7 | Return: -20.872125647665293
Episode: 8 | Return: -66.43901121660767
Episode: 9 | Return: -61.63603738610141
700
Episode: 0 | Return: 19.610527418613554
Episode: 1 | Return: 29.871704834563705
Episode: 2 | Return: 24.809612754578236
Episode: 3 | Return: 25.067730031605542
Episode: 4 | Return: 17.2018496270895
Episode: 5 | Return: 21.576633575154023
Episode: 6 | Return: 44.49078552432095
Episode: 7 | Return: 18.904125172525326
Episode: 8 | Return: 24.67843299060163
Episode: 9 | Return: 21.52802260181942
Episode: 0 | Return: 29.500750441066646
Episode: 1 | Return: 31.286090429294365
Episode: 2 | Return: 32.06465956750061
Episode: 3 | Return: 29.803068041421472
Episode: 4 | Return: 29.554924657478892
Episode: 5 | Return: 29.89541999925406
Episode: 6 | Return: 32.24047817803159
Episode: 7 | Return: 33.32820341350293
Episode: 8 | Return: 28.438453644035118
Episode: 9 | Return: 31.340188303500746
800
Episode: 0 | Return: 20.74852194925106
Episode: 1 | Return: 19.505623514831584
Episode: 2 | Return: 23.611738901538956
Episode: 3 | Return: 29.312187618635733
Episode: 4 | Return: 24.27584821222146
Episode: 5 | Return: 20.00006699176531
Episode: 6 | Return: 19.75395900858904
Episode: 7 | Return: 34.756071390660686
Episode: 8 | Return: 25.172696550229993
Episode: 9 | Return: 20.887098368199958
Episode: 0 | Return: 26.609800748561213
Episode: 1 | Return: 25.62741539900729
Episode: 2 | Return: 31.885169330932108
Episode: 3 | Return: 28.70384071987201
Episode: 4 | Return: 34.318177518684
Episode: 5 | Return: 32.97110576308887
Episode: 6 | Return: 27.60888538326161
Episode: 7 | Return: 24.780522820109137
Episode: 8 | Return: 31.31838696181115
Episode: 9 | Return: 22.980676067736027
900
Episode: 0 | Return: 39.547457349016675
Episode: 1 | Return: 25.443779326047714
Episode: 2 | Return: 28.607892683443946
Episode: 3 | Return: 26.158516424159103
Episode: 4 | Return: 58.68317939436635
Episode: 5 | Return: 24.822195713613503
Episode: 6 | Return: 37.51227994443577
Episode: 7 | Return: 45.434398785439384
Episode: 8 | Return: 32.66018855230327
Episode: 9 | Return: 17.976562047238644
Episode: 0 | Return: 31.434765773949984
Episode: 1 | Return: 26.69576330556304
Episode: 2 | Return: 25.43077694590727
Episode: 3 | Return: 55.31740516592331
Episode: 4 | Return: 16.593182023956082
Episode: 5 | Return: 22.77509497507521
Episode: 6 | Return: 87.87195531168116
Episode: 7 | Return: 27.45348368635943
Episode: 8 | Return: 25.89095810600221
Episode: 9 | Return: 87.21549599627558
1000
Episode: 0 | Return: 26.514571151981272
Episode: 1 | Return: 11.40468890091842
Episode: 2 | Return: 9.274775800846559
Episode: 3 | Return: 14.402018787993246
Episode: 4 | Return: 41.75306668737918
Episode: 5 | Return: 13.10881264411938
Episode: 6 | Return: 31.180541756850623
Episode: 7 | Return: 41.14391570162756
Episode: 8 | Return: 14.326743213822134
Episode: 9 | Return: 14.656336439892504
[    10 episode,    23561 total steps] average reward for past 500 iterations: 23.192
Last best model saved with reward: 229.76, at episode 907.
Episode: 0 | Return: 38.30925147923321
Episode: 1 | Return: 21.1884462252844
Episode: 2 | Return: 13.942304075971894
Episode: 3 | Return: 9.660681424933253
Episode: 4 | Return: 17.060170597830105
Episode: 5 | Return: 26.20258742346106
Episode: 6 | Return: 8.22067421605081
Episode: 7 | Return: 9.534006563457979
Episode: 8 | Return: 20.845822828383895
Episode: 9 | Return: 24.636899503574757
1100
Episode: 0 | Return: 14.855552535089755
Episode: 1 | Return: 13.673476752267764
Episode: 2 | Return: 15.015042110318069
Episode: 3 | Return: 38.72160126195852
Episode: 4 | Return: 33.2636460652766
Episode: 5 | Return: 13.05983381097603
Episode: 6 | Return: 28.71236148278432
Episode: 7 | Return: 34.61647662689673
Episode: 8 | Return: 18.795864072246793
Episode: 9 | Return: 15.355187640211133
Episode: 0 | Return: 35.442987401992376
Episode: 1 | Return: 37.41539375206656
Episode: 2 | Return: 28.8418202947666
Episode: 3 | Return: 37.11479271884715
Episode: 4 | Return: 31.90697469260527
Episode: 5 | Return: 31.166438421081796
Episode: 6 | Return: 35.76945577946829
Episode: 7 | Return: 65.2924701657291
Episode: 8 | Return: 34.832961046405785
Episode: 9 | Return: 30.97870440749305
1200
Episode: 0 | Return: -24.23894561528291
Episode: 1 | Return: 77.03146763289185
Episode: 2 | Return: 26.79490246632604
Episode: 3 | Return: 32.584464511465555
Episode: 4 | Return: 0.8755736398755103
Episode: 5 | Return: 25.016618242901437
Episode: 6 | Return: -6.804403807639168
Episode: 7 | Return: -2.734228314922684
Episode: 8 | Return: 37.177664374600084
Episode: 9 | Return: -19.159856005340828
Episode: 0 | Return: -39.61306970867673
Episode: 1 | Return: -10.746725650342556
Episode: 2 | Return: 4.665289879225031
Episode: 3 | Return: -67.7401469648403
Episode: 4 | Return: -130.9044881476589
Episode: 5 | Return: -68.39689894054592
Episode: 6 | Return: -73.31857584427753
Episode: 7 | Return: -25.84067974111159
Episode: 8 | Return: -63.18046117044576
Episode: 9 | Return: -10.64174675627696
1300
Episode: 0 | Return: 33.70417508002505
Episode: 1 | Return: 70.18998689062356
Episode: 2 | Return: -8.864924581540187
Episode: 3 | Return: 34.34026613421812
Episode: 4 | Return: -16.03135107923114
Episode: 5 | Return: 36.673689858888714
Episode: 6 | Return: 30.33775163237128
Episode: 7 | Return: 7.706807070657473
Episode: 8 | Return: 44.727831907691545
Episode: 9 | Return: 42.05839738418
Episode: 0 | Return: 38.16366181716843
Episode: 1 | Return: -23.690116156502235
Episode: 2 | Return: 38.4853799426341
Episode: 3 | Return: 6.857026426651561
Episode: 4 | Return: 38.528575551133116
Episode: 5 | Return: 40.590899125176065
Episode: 6 | Return: 34.36735859317582
Episode: 7 | Return: 32.04072436401622
Episode: 8 | Return: -7.3710725435737166
Episode: 9 | Return: 0.8618253993183463
1400
